match_id,season_id,league_id,matchday,home_team_id,away_team_id,winner,utc_date
436099,1,1,16,8,20,AWAY_TEAM,2023-12-09
436100,1,1,16,15,18,HOME_TEAM,2023-12-09
436102,1,1,16,11,13,DRAW,2023-12-09
436093,1,1,16,2,1,HOME_TEAM,2023-12-09
436096,1,1,16,4,3,HOME_TEAM,2023-12-10
436097,1,1,16,5,19,HOME_TEAM,2023-12-10
436098,1,1,16,16,7,AWAY_TEAM,2023-12-10
436101,1,1,16,10,9,HOME_TEAM,2023-12-10
436111,1,1,17,13,10,AWAY_TEAM,2023-12-15
436107,1,1,17,3,15,HOME_TEAM,2023-12-16
436109,1,1,17,7,14,DRAW,2023-12-16
436110,1,1,17,9,5,HOME_TEAM,2023-12-16
436106,1,1,17,12,4,AWAY_TEAM,2023-12-16
436104,1,1,17,1,17,HOME_TEAM,2023-12-17
436105,1,1,17,18,2,AWAY_TEAM,2023-12-17
436112,1,1,17,19,11,HOME_TEAM,2023-12-17
436108,1,1,17,6,8,DRAW,2023-12-17
436114,1,1,18,14,17,DRAW,2023-12-21
436113,1,1,18,2,15,DRAW,2023-12-22
436121,1,1,18,19,8,HOME_TEAM,2023-12-23
436115,1,1,18,5,12,AWAY_TEAM,2023-12-23
436117,1,1,18,16,9,HOME_TEAM,2023-12-23
436119,1,1,18,13,20,AWAY_TEAM,2023-12-23
436120,1,1,18,10,4,HOME_TEAM,2023-12-23
436116,1,1,18,6,1,DRAW,2023-12-23
436122,1,1,18,11,3,HOME_TEAM,2023-12-24
436131,1,1,19,9,13,AWAY_TEAM,2023-12-26
436123,1,1,19,20,5,HOME_TEAM,2023-12-26
436132,1,1,19,15,16,AWAY_TEAM,2023-12-26
436127,1,1,19,12,6,AWAY_TEAM,2023-12-26
436130,1,1,19,8,2,HOME_TEAM,2023-12-26
436125,1,1,19,18,11,AWAY_TEAM,2023-12-27
436128,1,1,19,3,14,HOME_TEAM,2023-12-27
436129,1,1,19,4,7,AWAY_TEAM,2023-12-27
436126,1,1,19,17,10,HOME_TEAM,2023-12-28
436124,1,1,19,1,19,AWAY_TEAM,2023-12-28
436137,1,1,20,16,3,AWAY_TEAM,2023-12-30
436133,1,1,20,2,12,HOME_TEAM,2023-12-30
436134,1,1,20,14,18,HOME_TEAM,2023-12-30
436138,1,1,20,7,15,HOME_TEAM,2023-12-30
436142,1,1,20,11,4,HOME_TEAM,2023-12-30
436139,1,1,20,13,8,HOME_TEAM,2023-12-30
436135,1,1,20,5,1,HOME_TEAM,2023-12-31
436140,1,1,20,10,20,HOME_TEAM,2023-12-31
436136,1,1,20,6,9,HOME_TEAM,2024-01-01
436141,1,1,20,19,17,DRAW,2024-01-02
436147,1,1,21,12,16,DRAW,2024-01-12
436148,1,1,21,3,5,HOME_TEAM,2024-01-13
436151,1,1,21,9,7,AWAY_TEAM,2024-01-13
436149,1,1,21,4,2,DRAW,2024-01-14
436150,1,1,21,8,10,DRAW,2024-01-14
436144,1,1,21,1,14,HOME_TEAM,2024-01-20
436145,1,1,21,18,13,HOME_TEAM,2024-01-20
436152,1,1,21,15,19,DRAW,2024-01-21
436143,1,1,21,20,6,AWAY_TEAM,2024-01-21
436146,1,1,21,17,11,DRAW,2024-01-22
436153,1,1,22,13,1,AWAY_TEAM,2024-01-30
436155,1,1,22,16,17,HOME_TEAM,2024-01-30
436156,1,1,22,5,4,DRAW,2024-01-30
436157,1,1,22,14,15,HOME_TEAM,2024-01-30
436158,1,1,22,2,9,AWAY_TEAM,2024-01-30
436159,1,1,22,10,18,HOME_TEAM,2024-01-31
436161,1,1,22,7,12,HOME_TEAM,2024-01-31
436162,1,1,22,6,3,HOME_TEAM,2024-01-31
436154,1,1,22,19,20,DRAW,2024-02-01
436160,1,1,22,11,8,AWAY_TEAM,2024-02-01
436169,1,1,23,4,10,DRAW,2024-02-03
436166,1,1,23,17,14,HOME_TEAM,2024-02-03
436167,1,1,23,12,5,DRAW,2024-02-03
436171,1,1,23,9,16,DRAW,2024-02-03
436172,1,1,23,15,2,AWAY_TEAM,2024-02-03
436163,1,1,23,20,13,DRAW,2024-02-04
436168,1,1,23,3,11,AWAY_TEAM,2024-02-04
436170,1,1,23,8,19,HOME_TEAM,2024-02-04
436164,1,1,23,1,6,HOME_TEAM,2024-02-04
436165,1,1,23,18,7,AWAY_TEAM,2024-02-05
436178,1,1,24,7,4,HOME_TEAM,2024-02-10
436175,1,1,24,5,20,HOME_TEAM,2024-02-10
436176,1,1,24,6,12,HOME_TEAM,2024-02-10
436177,1,1,24,16,15,AWAY_TEAM,2024-02-10
436180,1,1,24,10,17,HOME_TEAM,2024-02-10
436182,1,1,24,11,18,AWAY_TEAM,2024-02-10
436179,1,1,24,13,9,AWAY_TEAM,2024-02-10
436181,1,1,24,19,1,AWAY_TEAM,2024-02-11
436173,1,1,24,2,8,AWAY_TEAM,2024-02-11
436174,1,1,24,14,3,AWAY_TEAM,2024-02-12
436183,1,1,25,18,6,AWAY_TEAM,2024-02-17
436184,1,1,25,12,1,AWAY_TEAM,2024-02-17
436186,1,1,25,5,2,AWAY_TEAM,2024-02-17
436189,1,1,25,9,20,DRAW,2024-02-17
436190,1,1,25,13,19,HOME_TEAM,2024-02-17
436192,1,1,25,10,11,AWAY_TEAM,2024-02-17
436188,1,1,25,7,3,DRAW,2024-02-17
436191,1,1,25,15,17,AWAY_TEAM,2024-02-18
436187,1,1,25,16,8,AWAY_TEAM,2024-02-18
436185,1,1,25,4,14,DRAW,2024-02-19
436118,1,1,18,7,18,HOME_TEAM,2024-02-20
436199,1,1,26,6,16,HOME_TEAM,2024-02-21
436195,1,1,26,2,13,HOME_TEAM,2024-02-24
436196,1,1,26,17,4,DRAW,2024-02-24
436198,1,1,26,14,12,HOME_TEAM,2024-02-24
436200,1,1,26,8,5,AWAY_TEAM,2024-02-24
436193,1,1,26,20,7,AWAY_TEAM,2024-02-24
436194,1,1,26,1,9,HOME_TEAM,2024-02-24
436202,1,1,26,11,15,HOME_TEAM,2024-02-25
436201,1,1,26,19,18,HOME_TEAM,2024-02-26
436203,1,1,27,18,3,DRAW,2024-03-02
436205,1,1,27,4,19,AWAY_TEAM,2024-03-02
436206,1,1,27,5,17,HOME_TEAM,2024-03-02
436209,1,1,27,9,11,HOME_TEAM,2024-03-02
436210,1,1,27,13,6,AWAY_TEAM,2024-03-02
436212,1,1,27,10,14,HOME_TEAM,2024-03-02
436207,1,1,27,16,2,AWAY_TEAM,2024-03-02
436204,1,1,27,12,20,AWAY_TEAM,2024-03-03
436208,1,1,27,7,8,HOME_TEAM,2024-03-03
436211,1,1,27,15,1,AWAY_TEAM,2024-03-04
436220,1,1,28,8,4,HOME_TEAM,2024-03-09
436213,1,1,28,20,15,DRAW,2024-03-09
436218,1,1,28,14,16,DRAW,2024-03-09
436222,1,1,28,11,5,HOME_TEAM,2024-03-09
436214,1,1,28,1,18,HOME_TEAM,2024-03-09
436215,1,1,28,2,10,AWAY_TEAM,2024-03-10
436216,1,1,28,17,13,HOME_TEAM,2024-03-10
436221,1,1,28,19,12,DRAW,2024-03-10
436219,1,1,28,6,7,DRAW,2024-03-10
436217,1,1,28,3,9,HOME_TEAM,2024-03-11
436103,1,1,17,20,16,HOME_TEAM,2024-03-13
436225,1,1,29,12,18,HOME_TEAM,2024-03-16
436229,1,1,29,16,13,DRAW,2024-03-16
436228,1,1,29,5,10,HOME_TEAM,2024-03-16
436231,1,1,29,19,2,DRAW,2024-03-17
436239,1,1,30,9,19,HOME_TEAM,2024-03-30
436233,1,1,30,20,4,HOME_TEAM,2024-03-30
436236,1,1,30,3,12,DRAW,2024-03-30
436240,1,1,30,13,14,DRAW,2024-03-30
436241,1,1,30,15,5,DRAW,2024-03-30
436242,1,1,30,10,16,HOME_TEAM,2024-03-30
436234,1,1,30,2,11,HOME_TEAM,2024-03-30
436235,1,1,30,18,8,DRAW,2024-03-30
436237,1,1,30,6,17,HOME_TEAM,2024-03-31
436238,1,1,30,7,1,DRAW,2024-03-31
436247,1,1,31,13,5,HOME_TEAM,2024-04-02
436250,1,1,31,9,4,DRAW,2024-04-02
436243,1,1,31,20,14,HOME_TEAM,2024-04-02
436246,1,1,31,12,11,DRAW,2024-04-02
436248,1,1,31,19,10,DRAW,2024-04-02
436244,1,1,31,1,16,HOME_TEAM,2024-04-03
436245,1,1,31,18,17,DRAW,2024-04-03
436252,1,1,31,7,2,HOME_TEAM,2024-04-03
436251,1,1,31,6,15,HOME_TEAM,2024-04-04
